ID,Lib_Protocol,SRA,col0,ID_fasta,GenesSAPA_onlySACE,PhyloGroup_SACE469,Region_Pre,Region_New,YMX_NumID,Subgroup_New,Subgroup_Pre,Figura2
YMX005559,PE,,137,YMX005559,144,MMMG,Balsas_basin,Balsas basin,YMX005559,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005561,PE,,138,YMX005561,149,MMMG,Balsas_basin,Balsas basin,YMX005561,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005563,PE,,139,YMX005563,146,MMMG,Southcentral,South central,YMX005563,MMMG_South central,MMMG_Southcentral,1
YMX005564,PE,,140,YMX005564,146,MMMG,Southcentral,South central,YMX005564,MMMG_South central,MMMG_Southcentral,1
YMX005565,PE,,141,YMX005565,152,Tamaulipas,Northeast,Northeast,YMX005565,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX005566,PE,,142,YMX005566,179,Tamaulipas,Northeast,Northeast,YMX005566,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX005569,PE,,143,YMX005569,122,MMMG,Southcentral,South central,YMX005569,MMMG_South central,MMMG_Southcentral,1
YMX005570,PE,,144,YMX005570,116,MMMG,Southcentral,South central,YMX005570,MMMG_South central,MMMG_Southcentral,1
YMX005571,PE,,145,YMX005571,150,MMMG,Southcentral,South central,YMX005571,MMMG_South central,MMMG_Southcentral,1
YMX005572,PE,,146,YMX005572,159,MMMG,Southcentral,South central,YMX005572,MMMG_South central,MMMG_Southcentral,1
YMX005573,PE,,147,YMX005573,138,MMMG,Southcentral,South central,YMX005573,MMMG_South central,MMMG_Southcentral,1
YMX005575,PE,,149,YMX005575,149,MMMG,Southcentral,South central,YMX005575,MMMG_South central,MMMG_Southcentral,1
YMX005576,PE,,150,YMX005576,144,MMMG,Northwest,West I,YMX005576,MMMG_West I,MMMG_Northwest,1
YMX005577,PE,,151,YMX005577,148,MMMG,Northwest,West I,YMX005577,MMMG_West I,MMMG_Northwest,1
YMX005583,PE,,152,YMX005583,130,MMMG,Northwest,West I,YMX005583,MMMG_West I,MMMG_Northwest,1
YMX005584,PE,,153,YMX005584,136,MMMG,Balsas_basin,Balsas basin,YMX005584,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005585,PE,,154,YMX005585,135,MMMG,West,West II,YMX005585,MMMG_West II,MMMG_West,1
YMX005586,PE,,155,YMX005586,153,MMMG,West,West II,YMX005586,MMMG_West II,MMMG_West,1
YMX005587,PE,,156,YMX005587,178,Tamaulipas,Northeast,Northeast,YMX005587,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX005588,PE,,157,YMX005588,172,Tamaulipas,Northeast,Northeast,YMX005588,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX005590,PE,,158,YMX005590,132,MMMG,Balsas_basin,Balsas basin,YMX005590,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005591,PE,,159,YMX005591,134,MMMG,West,West II,YMX005591,MMMG_West II,MMMG_West,1
YMX005592,PE,,160,YMX005592,141,MMMG,Balsas_basin,Balsas basin,YMX005592,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005593,PE,,161,YMX005593,141,MMMG,Balsas_basin,Balsas basin,YMX005593,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005594,PE,,162,YMX005594,140,MMMG,West,West II,YMX005594,MMMG_West II,MMMG_West,1
YMX005595,PE,,163,YMX005595,115,MMMG,Southcentral,South central,YMX005595,MMMG_South central,MMMG_Southcentral,1
YMX005596,PE,,164,YMX005596,162,MMMG,Southcentral,South central,YMX005596,MMMG_South central,MMMG_Southcentral,1
YMX005597,PE,,165,YMX005597,145,MMMG,Northwest,West I,YMX005597,MMMG_West I,MMMG_Northwest,1
YMX005600,PE,,167,YMX005600,136,MMMG,Far_northwest,Northwest,YMX005600,MMMG_Northwest,MMMG_Far_northwest,1
YMX005601,PE,,168,YMX005601,146,MMMG,Far_northwest,Northwest,YMX005601,MMMG_Northwest,MMMG_Far_northwest,1
YMX005603,PE,,170,YMX005603,141,MMMG,Far_northwest,Northwest,YMX005603,MMMG_Northwest,MMMG_Far_northwest,1
YMX005609,PE,,173,YMX005609,135,MMMG,Far_northwest,Northwest,YMX005609,MMMG_Northwest,MMMG_Far_northwest,1
YMX005612,PE,,176,YMX005612,147,MMMG,Far_northwest,Northwest,YMX005612,MMMG_Northwest,MMMG_Far_northwest,1
YMX005616,PE,,177,YMX005616,147,MMMG,Balsas_basin,Balsas basin,YMX005616,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005618,PE,,179,YMX005618,136,MMMG,Balsas_basin,Balsas basin,YMX005618,MMMG_Balsas basin,MMMG_Balsas_basin,1
YMX005620,PE,,181,YMX005620,140,MMMG,Far_northwest,Northwest,YMX005620,MMMG_Northwest,MMMG_Far_northwest,1
YMX005621,PE,,182,YMX005621,141,MMMG,Far_northwest,Northwest,YMX005621,MMMG_Northwest,MMMG_Far_northwest,1
YMX005622,PE,,183,YMX005622,145,MMMG,Far_northwest,Northwest,YMX005622,MMMG_Northwest,MMMG_Far_northwest,1
YMX005626,PE,,185,YMX005626,148,MMMG,Far_northwest,Northwest,YMX005626,MMMG_Northwest,MMMG_Far_northwest,1
YMX005628,PE,,187,YMX005628,141,MMMG,Far_northwest,Northwest,YMX005628,MMMG_Northwest,MMMG_Far_northwest,1
YMX005630,PE,,189,YMX005630,145,MMMG,Far_northwest,Northwest,YMX005630,MMMG_Northwest,MMMG_Far_northwest,1
YMX005632,PE,,190,YMX005632,140,MMMG,Far_northwest,Northwest,YMX005632,MMMG_Northwest,MMMG_Far_northwest,1
YMX005633,PE,,191,YMX005633,139,MMMG,Far_northwest,Northwest,YMX005633,MMMG_Northwest,MMMG_Far_northwest,1
YMX005635,PE,,192,YMX005635,13,MixOrigin8,West,West II,YMX005635,MixOrigin8_West II,MixOrigin8_West,1
YMX005636,PE,,193,YMX005636,14,MixOrigin8,West,West II,YMX005636,MixOrigin8_West II,MixOrigin8_West,1
