Comparación	Mean_Fst	Weighted_Fst
Alpechin_vs_Taiwan	0.72387	0.91057
Alpechin_vs_Tamaulipas	0.4607	0.69175
Alpechin_vs_Tequila	0.20871	0.4371
Alpechin_vs_Wine12	0.07186	0.37603
Alpechin_vs_Wine14	0.23564	0.53925
AsianIslands_MR3_vs_CHNIII	0.20238	0.32176
AsianIslands_MR3_vs_CHNI	0.099116	0.63033
AsianIslands_MR3_vs_CHNIV	0.14441	0.40981
AsianIslands_MR3_vs_FEAsia	-0.26715	0.30306
AsianIslands_MR3_vs_FERussia	0.13698	0.32403
AsianIslands_MR3_vs_FG	0.50797	0.7837
AsianIslands_MR3_vs_FrenDairy	0.15973	0.33732
AsianIslands_MR3_vs_Mal19yCHNV	0.068753	0.21731
AsianIslands_MR3_vs_MedOak	0.28722	0.54791
AsianIslands_MR3_vs_MixOrigin8	0.27669	0.39625
AsianIslands_MR3_vs_MMMG	0.45301	0.69879
AsianIslands_MR3_vs_MosBeer	0.20726	0.41139
AsianIslands_MR3_vs_MosR1_WINE	0.15265	0.37922
AsianIslands_MR3_vs_MosR3_Sake	-0.3002	0.24407
AsianIslands_MR3_vs_MosR3	0.090036	0.18575
AsianIslands_MR3_vs_MosR3_Wine	0.11623	0.35361
AsianIslands_MR3_vs_MR2_Wine	0.16464	0.46057
AsianIslands_MR3_vs_NortAmOak	0.14458	0.2565
AsianIslands_MR3_vs_Sake_AsianFerm	0.17212	0.3743
AsianIslands_MR3_vs_SAM1	0.28946	0.53027
AsianIslands_MR3_vs_SAM2	0.21936	0.46253
AsianIslands_MR3_vs_SAM3	0.26387	0.48271
AsianIslands_MR3_vs_Taiwanese	0.2616	0.72787
AsianIslands_MR3_vs_Taiwan	0.047208	0.35379
AsianIslands_MR3_vs_Tamaulipas	0.4353	0.65434
AsianIslands_MR3_vs_Tequila	0.22045	0.3932
AsianIslands_MR3_vs_Wine12	0.33625	0.69154
AsianIslands_MR3_vs_Wine14	0.37029	0.66811
CHNIII_vs_CHNI	-0.24089	0.099071
CHNIII_vs_CHNIV	0.063767	0.15796
CHNIII_vs_FEAsia	-0.56753	-0.2927
CHNIII_vs_FERussia	0.2467	0.33323
CHNIII_vs_FG	0.7065	0.82486
CHNIII_vs_FrenDairy	0.083763	0.17921
CHNIII_vs_Mal19yCHNV	0.0080751	0.068234
CHNIII_vs_MedOak	0.46856	0.59017
CHNIII_vs_MixOrigin8	0.44297	0.51498
CHNIII_vs_MMMG	0.4446	0.73173
CHNIII_vs_MosBeer	0.30396	0.41465
CHNIII_vs_MosR1_WINE	0.14569	0.26023
CHNIII_vs_MosR3_Sake	-0.49077	-0.19289
CHNIII_vs_MosR3	0.16966	0.26765
CHNIII_vs_MosR3_Wine	0.1136	0.2256
CHNIII_vs_MR2_Wine	0.2085	0.35142
CHNIII_vs_NortAmOak	0.29482	0.43705
CHNIII_vs_Sake_AsianFerm	0.40294	0.57449
CHNIII_vs_SAM1	0.47732	0.68082
CHNIII_vs_SAM2	0.25214	0.42845
CHNIII_vs_SAM3	0.38314	0.55999
CHNIII_vs_Taiwanese	-0.032611	0.3033
CHNIII_vs_Taiwan	0.21324	0.35191
CHNIII_vs_Tamaulipas	0.64955	0.70462
CHNIII_vs_Tequila	0.32565	0.44852
CHNIII_vs_Wine12	0.46617	0.76177
CHNIII_vs_Wine14	0.59622	0.74324
CHNI_vs_CHNIV	0.53726	0.73843
CHNI_vs_FEAsia	-nan	-nan
CHNI_vs_FERussia	0.52495	0.74246
CHNI_vs_FG	0.68357	0.91232
CHNI_vs_FrenDairy	0.32108	0.62507
CHNI_vs_Mal19yCHNV	0.20671	0.5051
CHNI_vs_MedOak	0.69806	0.89676
CHNI_vs_MixOrigin8	0.35851	0.71311
CHNI_vs_MMMG	0.21359	0.83062
CHNI_vs_MosBeer	0.44239	0.74444
CHNI_vs_MosR1_WINE	0.58018	0.78327
CHNI_vs_MosR3_Sake	-nan	-nan
CHNI_vs_MosR3	0.033144	0.56978
CHNI_vs_MosR3_Wine	0.50225	0.71573
CHNI_vs_MR2_Wine	0.80136	0.89565
CHNI_vs_NortAmOak	0.062387	0.69395
CHNI_vs_Sake_AsianFerm	0.37896	0.81275
CHNI_vs_SAM1	0.31325	0.84093
CHNI_vs_SAM2	0.10061	0.65466
CHNI_vs_SAM3	0.21936	0.74864
CHNI_vs_Taiwanese	-nan	-nan
CHNI_vs_Taiwan	0.99321	0.99678
CHNI_vs_Tamaulipas	0.66249	0.84339
CHNI_vs_Tequila	0.23029	0.66174
CHNI_vs_Wine12	0.28033	0.89017
CHNI_vs_Wine14	0.66961	0.91119
CHNIV_vs_FEAsia	0.24263	0.53194
CHNIV_vs_FERussia	0.38777	0.55518
CHNIV_vs_FG	0.6553	0.85429
CHNIV_vs_FrenDairy	0.27493	0.4748
