Sample_Name,Strain_Alias,Phylogenetic_Clade,ID,Lib_protocol,SRA
CMS,YPS670,Wild_North_American,ERR1308999,PE,
APK,YS10(E),Mixed Origin,ERR1308678,PE,
APM,YS15,Mixed Origin,ERR1309296,PE,
APN,YS19,Mixed Origin,ERR1309119,PE,
BTF,YS22(E),Mixed Origin,ERR1309378,PE,
BTG,ZP_567,Mediterranean oak,JS774c1,PE,
BTI,ZP_611,PWCW,JS235c1,PE,
A8,A8,Alpechin,ERR3010122,PE,
AP 16.1,AP_16_1,Alpechin,ERR3010128,PE,
AP 17.1,AP_17_1,Alpechin,ERR3010129,PE,
AP 5.4,AP_5_4,Alpechin,ERR3010125,PE,
AP 6.2,AP_6_2,Alpechin,ERR3010126,PE,
AP 7.2,AP_7_2,Alpechin,ERR3010127,PE,
MM 11,MM_11,Alpechin,ERR3010131,PE,
NRRL-Y 12658,NRRL_Y_12658,Alpechin,ERR3010132,PE,
PYCC 2613,PYCC_2613,Alpechin,ERR3010133,PE,
PYCC 2708,PYCC_2708,Alpechin,ERR3010134,PE,
PYCC 4891,PYCC_4891,Alpechin,ERR3010135,PE,
PYCC 4935,PYCC_4935,Alpechin,ERR3010136,PE,
PYCC 6730,PYCC_6730,Alpechin,ERR3010137,PE,
PYCC 6731,PYCC_6731,Alpechin,ERR3010138,PE,
PYCC 6732,PYCC_6732,Alpechin,ERR3010139,PE,
PYCC 6733,PYCC_6733,Alpechin,ERR3010140,PE,
S27,S27,Alpechin,ERR3010143,PE,
YO 652,YO_652,Alpechin,ERR3010146,PE,
YO 653,YO_653,Alpechin,ERR3010147,PE,
YO 654,YO_654,Alpechin,ERR3010148,PE,
ZIM 2221,ZIM_2221,Alpechin,ERR3010149,PE,
