155	155
168	168
229	229
427	427
502	502
1014-F5	1014_F5
E-SYBR-8:1014g5	1014g(?)5
11-3002	11_3002
25.12.00	2_1392
11.51	2_591
20B2	20B2
22A4	22A4
5-3004	5_3004
59A	59A
6320-A7	6320_A7
7-7	7_7
A8	A8
RM11-1a	AAAOSW
CBS422a	AABOSW
CBS2165a	AACOSW
CBS436a	AADOSW
CBS2806a	AAEOSW
CBS428a	AAGOSW
CBS1388a	AAHOSW
CBS2966a	AAIOSW
CBS4093a	AAKOSW
CBS1236-a	AALOSW
CLIB192_1b	AAMOSW
CLIB274_1	AANOSW
CLIB326_1	AAPOSW
CLIB272_2	AAQOSW
CLIB382_1b	AAROSW
YJM145_b	AASOSW
YJM280_b	AATOSW
YJM320b	AAVOSW
YJM326_b	ABAOSW
YJM413_b	ABBOSW
YJM421_b	ABCOSW
YJM428_1b	ABDOSW
YJM434_1b	ABEOSW
YJM436_1b	ABFOSW
YJM440_1b	ABGOSW
YJM454_1b	ABHOSW
YJM653_1b	ABIOSW
YJM678_1b	ABKOSW
CBS2888_1b	ABLOSW
CBS3093_1b	ABMOSW
CECT10109_1b	ABPOSW
DBVPG1788_1b	ABQOSW
DBVPG1794_1b	ABROSW
DBVPG3591_1b	ABSOSW
DBVPG4651_1b	ABTOSW
DBVPG6861	ABVOSW
EM93_3	ACAOSW
TL229S2.2	ACBOSW
YPS1000_1b	ACCOSW
YPS163_1b	ACDOSW
CLIB294_1b	ACFOSW
CLIB413_1b	ACGOSW
CLIB483_1b	ACHOSW
Y10_1b	ACIOSW
Y12_1b	ACKOSW
Y3_1b	ACLOSW
Y9_4	ACMOSW
YJM269_1b	ACNOSW
CLIB154_1b	ACPOSW
CLIB219_2b	ACQOSW
DBVPG1339_1b	ACROSW
I14_1b	ACSOSW
UC8_1b	ACTOSW
WE372_1b	ACVOSW
Y55_1b	ADAOSW
Y9J_1b	ADBOSW
UC1_1b	ADCOSW
IL_01_b	ADDOSW
PW5_b	ADEOSW
YPS1009_b	ADFOSW
NC_02_b	ADGOSW
T7_b	ADHOSW
YJM981_b	ADIOSW
CLIB208_1	ADKOSW
CLIB318_1	ADLOSW
CLIB324_2	ADMOSW
K1_1	ADNOSW
Y6_b	ADPOSW
K12_2	ADQOSW
M22_1b	ADROSW
T73_1b	ADSOSW
CBS7765	ADTOSW
CBS7903	ADVOSW
CBS7958	AEAOSW
CBS1171	AEBOSW
CBS1248	AECOSW
CBS2441	AEEOSW
CBS6414	AEFOSW
CBS7962	AEGOSW
CBS7964	AEHOSW
CBS1428	AEIOSW
CBS4079	AEKOSW
CBS1394	AELOSW
CBS2973	AEMOSW
CBS4454	AENOSW
CBS1508	AEPOSW
CBS1782	AEQOSW
CBS2970	AEROSW
CBS4054	AESOSW
CBS6007	AETOSW
CBS6216	AEVOSW
AF	AF
CBS6503	AFAOSW
AFB.1	AFB_1
CBS7371	AFBOSW
CBS7764	AFCOSW
CBS7960	AFDOSW
CBS8291	AFEOSW
CBS1252	AFFOSW
CBS1387	AFGOSW
CBS1509	AFHOSW
CBS2183	AFIOSW
CBS2992	AFKOSW
CBS4456	AFLOSW
CBS6412	AFMOSW
CBS6413	AFNOSW
CBS6505	AFPOSW
CBS7993	AFQOSW
CBS7959	AFROSW
CBS1173	AFSOSW
CBS1464	AFTOSW
CBS2814	AFVOSW
CBS3012	AGAOSW
CBS6308	AGBOSW
CBS2444	AGCOSW
CBS1385	AGEOSW
CBS1479	AGFOSW
CBS1480	AGGOSW
CBS1582	AGHOSW
CBS1590	AGIOSW
CBS2361	AGKOSW
CBS4458	AGLOSW
CBS7961	AGMOSW
CBS439	AGNOSW
CBS1544	AGPOSW
CBS1594	AGROSW
CBS3013	AGSOSW
CBS3078	AGTOSW
CBS6223	AGVOSW
CBS6333	AHAOSW
CBS4734	AHBOSW
CBS7963	AHCOSW
CBS1192	AHDOSW
CBS1194	AHEOSW
CBS1540	AHFOSW
CBS1586	AHGOSW
CBS3000	AHHOSW
CBS6914	AHIOSW
CBS2247	AHKOSW
CBS3081	AHLOSW
CBS3093	AHMOSW
CBS5635	AHNOSW
CBS5835	AHPOSW
CBS440	AHQOSW
CBS1227	AHROSW
CBS1419	AHSOSW
CBS1460	AHTOSW
CBS1487	AHVOSW
CBS2180	AIAOSW
CBS2805	AIBOSW
CBS2807	AICOSW
CBS2909	AIDOSW
CBS2910	AIEOSW
CBS457	AIFOSW
CBS1463	AIGOSW
C6.1	AIIOSW
C15.1	AIKOSW
C10.4	AILOSW
E4	AIMOSW
MC5	AINOSW
MC6	AIPOSW
MC7	AIQOSW
MC8	AIROSW
MC10	AITOSW
NPA07.1	AKBOSW
NPA05a1	AKCOSW
NPA05b1	AKDOSW
NPA03.1	AKEOSW
NPA06.1	AKGOSW
NPA02-1	AKHOSW
DBVPG6044	AKIOSW
K12	AKLOSW
UWOPS03-461.4	AKMOSW
YPS128	AKNOSW
CLQCA_02-003	AKPOSW
CLQCA_04-021	AKQOSW
CLQCA_05-006	AKROSW
CLQCA_09-001	AKSOSW
CLQCA_10-003	AKTOSW
CLQCA_10-027	AKVOSW
CLQCA_10-619	ALAOSW
CLQCA_10-620	ALBOSW
CLQCA_11-024	ALCOSW
CLQCA_13-023	ALDOSW
CLQCA_17-060	ALEOSW
CLQCA_18-003	ALGOSW
CLQCA_19-011	ALHOSW
CLQCA_20-060	ALIOSW
CLQCA_24SC-235	ALKOSW
21-4-99	ALLOSW
21-4-0101	ALMOSW
21-4-0103	ALNOSW
21-4-0105	ALPOSW
21-4-0111	ALQOSW
21-4-0114	ALROSW
21-4-0116	ALSOSW
21-4-0122	ALTOSW
21-4-0124	ALVOSW
21-4-0125	AMAOSW
IY_03-5-30-1-1-1_(1)	AMBOSW
IY_03-5-26-5-1-1_(1)	AMCOSW
ES4M07	AMDOSW
ES2M03	AMFOSW
SJ7L01	AMGOSW
EN14S01	AMHOSW
SJ1L04	AMIOSW
SJ6L01	AMKOSW
SJ5L11	AMLOSW
SJ5L12	AMMOSW
SJ5L13	AMNOSW
