DL5	DL5
1602a	1602a
MGL11	MGL11
MGL21	MGL21
MGL27	MGL27
M4T3	M4T3
1103	1103
1178	1178
1147	1147
1168	1168
YMX003697	YMX003697
YMX003553	YMX003553
YMX003625	YMX003625
YMX003673	YMX003673
YMX001298	YMX001298
YMX001684	YMX001684
YMX000673	YMX000673
YMX001756	YMX001756
YMX001922	YMX001922
YMX001566	YMX001566
YMX002185	YMX002185
YMX002190	YMX002190
YMX002116	YMX002116
YMX002090	YMX002090
YMX002521	YMX002521
YMX002665	YMX002665
YMX003402	YMX003402
YMX003404	YMX003404
YMX003390	YMX003390
YMX003337	YMX003337
YMX001901	YMX001901
YMX001945	YMX001945
YMX001949	YMX001949
YMX001951	YMX001951
YMX002458	YMX002458
YMX002461	YMX002461
YMX002466	YMX002466
YMX002449	YMX002449
YMX002468	YMX002468
YMX002450	YMX002450
YMX002452	YMX002452
YMX002642	YMX002642
YMX002573	YMX002573
YMX002401	YMX002401
YMX003889	YMX003889
YMX002479	YMX002479
YMX002547	YMX002547
YMX002427	YMX002427
YMX002353	YMX002353
YMX002690	YMX002690
YMX002934	YMX002934
YMX003265	YMX003265
YMX003529	YMX003529
YMX003313	YMX003313
YMX003051	YMX003051
YMX003409	YMX003409
YMX003433	YMX003433
YMX002833	YMX002833
YMX003938	YMX003938
YMX002857	YMX002857
YMX002809	YMX002809
YMX003002	YMX003002
YMX002905	YMX002905
YMX004033	YMX004033
YMX000818	YMX000818
YMX001011	YMX001011
YMX000743	YMX000743
YMX000841	YMX000841
YMX001084	YMX001084
YMX000935	YMX000935
YMX000988	YMX000988
YMX001514	YMX001514
YMX002041	YMX002041
YMX000865	YMX000865
YMX001132	YMX001132
YMX000892	YMX000892
YMX000626	YMX000626
YMX001273	YMX001273
YMX001849	YMX001849
YMX002020	YMX002020
YMX001393	YMX001393
YMX001345	YMX001345
YMX001733	YMX001733
YMX001225	YMX001225
YMX001658	YMX001658
YMX001609	YMX001609
YMX000649	YMX000649
YMX003824	YMX003824
YMX002071	YMX002071
YMX001969	YMX001969
YMX001826	YMX001826
YMX001153	YMX001153
YMX000937	YMX000937
YMX000721	YMX000721
YMX000963	YMX000963
YMX001036	YMX001036
DD2a	DD2a
YMX003194	YMX003194
YMX002497	YMX002497
YMX002713	YMX002713
YMX002378	YMX002378
YMX004057	YMX004057
YMX004549	YMX004549
YMX004563	YMX004563
YMX004564	YMX004564
YMX004566	YMX004566
YMX004569	YMX004569
YMX004594	YMX004594
YMX004642	YMX004642
YMX004648	YMX004648
YMX004659	YMX004659
YMX004668	YMX004668
YMX004678	YMX004678
YMX004685	YMX004685
YMX004688	YMX004688
MJ5	MJ5
YMX005538	YMX005538
YMX005539	YMX005539
YMX005541	YMX005541
YMX005542	YMX005542
YMX005543	YMX005543
YMX005545	YMX005545
YMX005546	YMX005546
YMX005547	YMX005547
YMX005548	YMX005548
YMX005549	YMX005549
YMX005550	YMX005550
YMX005551	YMX005551
YMX005552	YMX005552
YMX005553	YMX005553
YMX005554	YMX005554
YMX005555	YMX005555
YMX005556	YMX005556
YMX005557	YMX005557
YMX005558	YMX005558
YMX005559	YMX005559
YMX005561	YMX005561
YMX005563	YMX005563
YMX005564	YMX005564
YMX005565	YMX005565
YMX005566	YMX005566
YMX005569	YMX005569
YMX005570	YMX005570
YMX005571	YMX005571
YMX005572	YMX005572
YMX005573	YMX005573
YMX005574	YMX005574
YMX005575	YMX005575
YMX005576	YMX005576
YMX005577	YMX005577
YMX005583	YMX005583
YMX005584	YMX005584
YMX005585	YMX005585
YMX005586	YMX005586
YMX005587	YMX005587
YMX005588	YMX005588
YMX005590	YMX005590
YMX005591	YMX005591
YMX005592	YMX005592
YMX005593	YMX005593
YMX005594	YMX005594
YMX005595	YMX005595
YMX005596	YMX005596
YMX005597	YMX005597
YMX005599	YMX005599
YMX005600	YMX005600
YMX005601	YMX005601
YMX005602	YMX005602
YMX005603	YMX005603
YMX005604	YMX005604
YMX005608	YMX005608
YMX005609	YMX005609
YMX005610	YMX005610
YMX005611	YMX005611
YMX005612	YMX005612
YMX005616	YMX005616
YMX005617	YMX005617
YMX005618	YMX005618
YMX005619	YMX005619
YMX005620	YMX005620
YMX005621	YMX005621
YMX005622	YMX005622
YMX005625	YMX005625
YMX005626	YMX005626
YMX005627	YMX005627
YMX005628	YMX005628
YMX005629	YMX005629
YMX005630	YMX005630
YMX005632	YMX005632
YMX005633	YMX005633
L022	L022
L023	L023
MOC1M	MOC1M
LO24	LO24
TM15	TM15
L021	L021
TM10	TM10
M1L1	M1L1
IL4	IL4
YMX005648	YMX005648
YMX009814	YMX009814
YMX009815	YMX009815
YMX009816	YMX009816
YMX009821	YMX009821
YMX009823	YMX009823
YMX009824	YMX009824
YMX009825	YMX009825
YMX009826	YMX009826
94-238.1	94-238.1
94-206.3	94-206.3
94-208.3	94-208.3
94-201.1	94-201.1
92-230.2	92-230.2
92-218.2	92-218.2
92-221.4	92-221.4
YMX009795	YMX009795
906	CPA
908	BBM
LCBG-3D2	CPM
LCBG-3D4	CPQ
LCBG-3D6	CPI
LCBG-3Y3	CPN
LCBG-3Y8	CPR
LCBG-4Y3	CPL
LCBG-Mosca3	CPK
CEY616	BDQ
CEY617	BDR
CEY618	BDS
CEY619	BDT
CEY620	BDV
CEY621	BEA
CEY622	BEB
CEY623	BEC
CEY624	BED
CEY625	BEE
CEY646	BMR
CEY647	CQS
CEY649	BMV
CEY650	BNA
CEY651	BNB
CEY652	BNC
CEY653	BND
HE001	BCB
HE004	BCC
HE005	BCD
