UFMG-CM-Y263,UFMG-CM-Y641,UFMG-CM-Y642,,,,
YAR042W,YAR042W,YAR042W,,,,
YBR017C,YBR017C,YBR017C,,,,
YBR022W,YGL255W,YGL255W,,,,
YER177W,YGL256W,YGL256W,,,,
YER178W,YHR207C,YHR207C,,,,
YER179W,YHR208W,YHR208W,,,,
YER180C,YHR209W,YHR209W,,,,
YER180C-A,YIL160C,YIL160C,,,,
YER182W,YIL164C,YIL161W,,,,
YER183C,YIL166C,YIL164C,,,,
YFR052W,YIR017C,YIL166C,,,,
YGR285C,YJL212C,YIR017C,,,,
YGR286C,YJL213W,YJL212C,,,,
YIL164C,YKL060C,YJL213W,,,,
YIR012W,YKL124W,YKL060C,,,,
YIR013C,YKL125W,YKL124W,,,,
YIR014W,YKL127W,YKL125W,,,,
YIR015W,YLR077W,YKL127W,,,,
YIR017C,YLR078C,YLR077W,,,,r
YIR019C,YLR079W,YLR078C,,,,
YKL060C,YLR084C,YLR079W,,,,
YKL122C,YOL119C,YLR084C,,,,
YKL124W,YOL121C,YOL119C,,,,
YKL125W,YOL122C,YOL122C,,,,
YLR077W,,,,,,
YLR078C,,,,,,
YLR079W,,,,,,
YLR084C,,,,,,
YLR257W,,,,,,
YNR059W,,,,,,
YNR071C,,,,,,
YOL119C,,,,,,
YOL122C,,,,,,
YOL129W,,,,,,
YOL146W,,,,,,
YOL147C,,,,,,
YOL148C,,,,,,
YOL149W,,,,,,
YOL151W,,,,,,
YOL152W,,,,,,
